	file	left	right	target	id	type
157	nf_1954_774290	employed with it to preheat the metallic-oxide burner , which would not conduct electricity when	. In spite of improvements made by others to whom Nernst assigned patent rights ,	cold	cold/j/nf_1954_774290/3732	cold/j
158	nf_1954_774290	discouragingly , they remained brittle when cool .  | Next , Coolidge pressed tungsten between	blocks of hardened alloy steel . From this he learned more about the reaction of	hot	hot/j/nf_1954_774290/7059	hot/j
159	nf_1954_774290	Freeman Barnes , manager of the Sales Promotion Division . Barnes could make an exceptionally	, appealing presentation of Science of Seeing ideas on the platform before any group .	warm	warm/j/nf_1954_774290/40634	warm/j
160	mag_1944_258277	an altar . But the praying pilot ; the nurse who lifted the cup of	water to my burning lips ; the mail truck driver with a chest cough that	cold	cold/j/mag_1944_258277/90	cold/j
161	mag_1993_409278	. Crayfish may be found in nearly every freshwater habitat in North America , from	northern lakes to warm southern swamps , from water-saturated fields to fast-flowing streams . But	cold	cold/j/mag_1993_409278/768	cold/j
162	news_2000_622059	course . Both were seen as big hitters with shaky control , who could get	. Consider that when this Open teed off , Daly and Woods had each won	hot	hot/j/news_2000_622059/631	hot/j
163	fic_1971_14051	", "" he said , "" is great long lines of marching men , ice"	nights , bleak Asian skies , and the hard , lonely duty of serving your	cold	cold/j/fic_1971_14051/3325	cold/j
164	nf_1833_747531	a few herbs , entire or pulverized , and which they administer with a little	water , is an indispensable requisite in Indian medical practice . Indeed , the head	warm	warm/j/nf_1833_747531/1164	warm/j
165	nf_1833_747531	the Kussians . This people are distiuguished by a robust constitution capable of resisting the	and rigour of their climate . The purity of the air , their simple way	cold	cold/j/nf_1833_747531/2654	cold/j
166	nf_1833_747531	the frequent use of butchers ' meat , and per- /z/ haps also that of	baths cause the Russians to attain to their full growth at an earlier age than-e	hot	hot/j/nf_1833_747531/2692	hot/j
167	news_1989_670784	"a large profit by Mallightco in this period , were "" very volatile , very"	properties that attracted a lot of people in this part of the country because @	hot	hot/j/news_1989_670784/1180	hot/j
168	mag_1990_339862	of Albania . As far as the authorities are concerned , that is so much	air . Now the would-be sovereign , who lives in South Africa , % intends	hot	hot/j/mag_1990_339862/37	hot/j
169	mag_1847_524130	the manifold and manifest foibles , follies , trials , sufferings of a young ,	", unschooled heart that has had its own way in life . "" Of course"	hot	hot/j/mag_1847_524130/6478	hot/j
170	fic_1908_5081	is one of the sights that has to be imagined . The next evening was	, and Bobberts was sleeping nicely , so Mrs. Fenelby walked part of the way	warm	warm/j/fic_1908_5081/4869	warm/j
171	fic_1908_5081	never wear a collar at all , and would not think of wearing one in	weather . They are like jewelry or  --  or something of that sort . Collars	hot	hot/j/fic_1908_5081/12313	hot/j
172	fic_1908_5081	"'s orders , ma'am , "" said Bridget . "" ' T is for me"	". "" She coughed as well as she could , but it was not a"	cold	cold/j/fic_1908_5081/18737	cold/j
173	fic_2006_51371	bearing its weight in spiced goat meat , sliced melon , and bowls of steaming	"beer . Sihayo took up the story as they began grabbing food . "" At"	hot	hot/j/fic_2006_51371/2282	hot/j
174	fic_2006_51371	She looked at him . Her tears had dried , leaving shiny streaks , and	"resignation had chased the pain from her eyes . "" Should I remind you ?"	cold	cold/j/fic_2006_51371/5127	cold/j
175	fic_2006_51371	, all of the chiefs chose a simple married man 's head ring and a	"blanket . All had backed down from Dabulamanzi 's claim except for one . """	warm	warm/j/fic_2006_51371/7087	warm/j
176	fic_1946_23497	righteous anger proceeded to spank her quickly , before being forced to administer justice in	blood . Familiar howls and shrieks rang through the apartment , but then something happened	cold	cold/j/fic_1946_23497/1150	cold/j
177	mag_1960_491669	a loser under Blanc 's regime , his little joke would have left me very	. I had also learned that the automobiles from the palace garage carry license plates	cold	cold/j/mag_1960_491669/6389	cold/j
178	fic_1849_583	to dross around us , these only retain their steady value . When friends grow	, and the converse of intimates languishes into vapid @ @ @ @ @ @	cold	cold/j/fic_1849_583/8823	cold/j
179	fic_1849_583	am sure you have never placed your happiness in outward show -- you have yet friends ,	friends , who will not think the worse of you for being less splendidly lodged	warm	warm/j/fic_1849_583/10938	warm/j
180	fic_1849_583	"old Stow , "" was always famous for its convivial doings . The cookes cried"	ribbes of beef roasted , pies well baked , and other victuals : there was	hot	hot/j/fic_1849_583/45494	hot/j
181	fic_1999_13981	@@13981 ( A blast of	wind , sounds of winter , wind howling , maybe snow on a scrim .	cold	cold/j/fic_1999_13981/6	cold/j
182	fic_1999_13981	sorry . KIMBERLY Everybody else got picked up . BUDDY You 're not getting any	sitting there . KIMBERLY Well , I 'd love to move , but my ass	warmer	warm/j/fic_1999_13981/467	warm/j
183	fic_1999_13981	you staying in that environment . PATTIE Help me , Buddy . It 's getting	in here . ( BUDDY fans PATTIE . ) KIMBERLY You know what I wanted	hot	hot/j/fic_1999_13981/22820	hot/j
184	fic_1909_2111	"and  --  "" . He looked across the street to the monument that stood a"	, lifeless mask in a world of living joy and beauty ; from the monument	cold	cold/j/fic_1909_2111/8458	cold/j
185	fic_1909_2111	Looking away over the landscape where the clouds and shadows were racing , and the	autumn light lay on the varying shades of green and brown , he remarked :	warm	warm/j/fic_1909_2111/26667	warm/j
186	fic_1909_2111	shrink from what she could not but view as a coarse ungentlemanly trick he grew	with shame . No wonder , he told himself , that he had instinctively shrunk	hot	hot/j/fic_1909_2111/44696	hot/j
187	mag_1923_253653	""" Everything to my wife . "" <P> In tropical Honolulu five Japanese died from"	and exposure . They were climbing Mt . Haleakala , extinct volcano , when a	cold	cold/j/mag_1923_253653/96	cold/j
188	news_1928_694867	a decrease of $532,687 . A large factor in this saving was the decrease in	boxes . In 1925 the road had 17,243 freight train hot boxes . In 1926	hot	hot/j/news_1928_694867/218	hot/j
189	mag_1957_186582	signing a receipt for it , laid it in her lap and began covering the	features with plaster . In this way , Anne Marie ( better known by her	warm	warm/j/mag_1957_186582/60	warm/j
190	mag_1957_186582	@ @ @ @ @ @ artificial skulls , how to tint and warm the	wax . When she was 19 , Uncle Philip wangled her into the bedchambers of	cold	cold/j/mag_1957_186582/209	cold/j
